MSSV|MaLHP|DiemQT|DiemCK|DiemTK|DiemHe4
202400000|169313|8.50|7.00|7.75|3.00
202400000|169307|8.00|9.00|8.50|4.00
202400000|169320|6.50|7.00|6.75|2.50
202400000|169400|9.00|8.00|8.50|4.00
202400000|169401|7.50|8.00|7.75|3.00
202400001|169307|9.00|8.50|8.75|4.00
202400001|169313|7.00|8.00|7.50|3.00
202400001|169320|8.00|7.00|7.50|3.00
202400001|169400|6.00|6.50|6.25|2.00
202400002|169320|7.00|7.50|7.25|3.00
202400002|169313|9.00|9.50|9.25|4.00
202400002|169307|5.50|6.00|5.75|2.00
202400002|169401|8.50|9.00|8.75|4.00
202400003|169313|6.00|5.50|5.75|2.00
202400003|169307|7.00|6.50|6.75|2.50
202400003|169320|8.00|8.50|8.25|3.50
202400004|169313|5.00|4.50|4.75|1.00
202400004|169400|9.50|10.00|9.75|4.00
202400004|169401|7.00|7.50|7.25|3.00
202400010|169307|4.00|3.50|3.75|0.00
202400010|169313|6.50|7.00|6.75|2.50
202400010|169320|8.00|7.00|7.50|3.00
